PROVINCE,CODE,,EI ECONOMIC NAME,JANUARY 8 to FEBRUARY 4,FEBRUARY 5 to MARCH 10,MARCH 11 to APRIL 7,APRIL 8 to MAY 12,MAY 13 to JUNE 9,JUNE 10 to JULY 7,JULY 8 to AUGUST 11,AUGUST 12 to SEPTEMBER 8,SEPTEMBER 9 to OCTOBER 6,latitude,longitude,name,desc,,source,precision
Ont.,31,,NIAGARA,8.3,8.4,9.1,9,8.8,8.3,8.1,8.3,8.4,43.0847893,-79.0703278,NIAGARA,Niagara Falls,,Bing Maps,Waterfall
Ont.,32,x,WINDSOR ONTARIO,7.6,6.7,7.4,7.7,9,9.1,9.3,8.9,9.1,42.3153,-83.0157013,WINDSOR ONTARIO,"Windsor, ON",,Bing Maps,city/town
Ont.,33,,KITCHENER,6.7,6.6,6.6,6.7,6.8,6.6,6.4,6.3,6.5,43.471199,-80.4869003,KITCHENER,"Kitchener, ON",,Bing Maps,city/town
Ont.,34,,HURON,7.7,7.6,7.7,7.5,7.7,7.6,7.9,7.6,7.6,44.7760239,-82.2044678,HURON,Lake Huron,,Bing Maps,Lake
Ont.,35,,SOUTH CENTRAL ONTARIO,6.4,5.9,5.9,5.7,5.9,5.8,5.8,5.5,5,42.2997169,-83.0283203,SOUTH CENTRAL ONTARIO,"South Central, ON",,Bing Maps,Neighborhood
Ont.,36,x,SUDBURY ONTARIO,6.9,6.8,6.8,6.5,5.9,6.3,6.7,6.8,6.4,46.4895897,-80.9901123,SUDBURY ONTARIO,"Greater Sudbury, ON",,Bing Maps,city/town
Ont.,37,,THUNDER BAY,6.3,5.9,5.8,6.1,6,6,5.4,5.1,4.9,48.381691,-89.2454987,THUNDER BAY,"Thunder Bay, ON",,Bing Maps,city/town
Ont.,38,,NORTHERN ONTARIO,12.3,12.9,12.8,12.6,11.9,11.6,11.5,11.6,12.1,44,-80,NORTHERN ONTARIO,Southern Ontario,,Bing Maps,Peninsula
Man.,39,,WINNIPEG,5.8,5.9,5.7,5.7,5.8,5.9,5.8,5.7,6,52.148941,-97.7184601,WINNIPEG,"Lake Winnipeg, MB",,Bing Maps,Lake
Man.,40,,SOUTHERN MANITOBA,5.9,6,6.2,6.4,6.5,6.4,6.3,6,5.7,49.5499992,-98.0400009,SOUTHERN MANITOBA,Southern Manitoba,,Bing Maps,Region
Man.,41,,NORTHERN MANITOBA,32.1,32,32.2,32.2,31.9,31.8,31.8,31.8,32,56,-97,NORTHERN MANITOBA,Northern Region,,Bing Maps,Region
Sask.,42,,REGINA,4,4.2,4,3.9,3.7,3.6,3.6,3.3,3.2,50.4660988,-104.6269989,REGINA,"Regina, SK",,Bing Maps,city/town
Sask.,43,,SASKATOON,4.2,4.3,4.5,4.7,4.5,4.2,3.8,3.6,4.4,52.1072998,-106.6350021,SASKATOON,"Saskatoon, SK",,Bing Maps,city/town
Sask.,44,,SOUTHERN SASKATCHEWAN,5.8,6.1,6.3,6.7,6.5,6.4,6.1,6,5.9,54.4185829,-105.8888474,SOUTHERN SASKATCHEWAN,Saskatchewan,,Bing Maps,state/province
Sask.,45,,NORTHERN SASKATCHEWAN,17,16.9,16.3,16.5,16.4,16.7,16.6,17,17,54.4185829,-105.8888474,NORTHERN SASKATCHEWAN,Saskatchewan,,Bing Maps,state/province
Alb.,46,,CALGARY,4.7,4.8,4.8,5.1,5.4,5.5,5.5,5.3,5.5,51.0452194,-114.0630188,CALGARY,"Calgary, AB",,Bing Maps,city/town
Alb.,47,x,EDMONTON ALBERTA,5.5,5.6,5.3,5,5,5.3,5.6,5.6,5.7,53.4538002,-113.5090027,EDMONTON ALBERTA,"Edmonton, AB",,Bing Maps,city/town
Alb.,48,,NORTHERN ALBERTA,8.1,8.2,8.7,9,8.9,7.8,7.5,7.8,8.6,57,-115,NORTHERN ALBERTA,Northern Alberta,,Bing Maps,Region
Alb.,49,,SOUTHERN ALBERTA,5.1,5.2,5.2,5.1,4.9,4.8,4.7,4.6,4.8,50,-112,SOUTHERN ALBERTA,Southern Alberta,,Bing Maps,Region
B.C.,50,,SOUTHERN INTERIOR BRITISH COLUMBIA,8.8,8.9,8.9,8.6,8.3,7.9,7.8,7.4,7.2,54.5618629,-125.1040573,SOUTHERN INTERIOR BRITISH COLUMBIA,British Columbia,,Bing Maps,state/province
B.C.,51,,ABBOTSFORD,8.1,8.2,8.5,8.2,7.7,7.6,7.7,8.2,8.3,49.0502014,-122.288002,ABBOTSFORD,"Abbotsford, BC",,Bing Maps,city/town
B.C.,52,,VANCOUVER,6.7,6.5,6.3,6,5.7,5.6,5.6,5.7,5.8,49.2811012,-123.0439987,VANCOUVER,"Vancouver, BC",,Bing Maps,city/town
B.C.,53,x,VICTORIA BRITISH COLUMBIA,5.4,5.7,6.1,6.1,5.9,6,6,6,6.1,48.4389,-123.3960037,VICTORIA BRITISH COLUMBIA,"Victoria, BC",,Bing Maps,city/town
B.C.,54,,SOUTHERN COASTAL BRITISH COLUMBIA,9.7,9.2,8.7,8.2,7.9,7.9,8.3,8.9,9.2,54.5618629,-125.1040573,SOUTHERN COASTAL BRITISH COLUMBIA,British Columbia,,Bing Maps,state/province
B.C.,55,,NORTHERN BRITISH COLUMBIA,10.5,11.1,11.6,11.6,11.6,11.8,11.5,11.4,10.9,53.8910484,-122.8137817,NORTHERN BRITISH COLUMBIA,"Univ of Northern British Columbia, BC",,Bing Maps,HigherEducationFacility
TERRITORIES,56,,YUKON,25,25,25,25,25,25,25,25,25,63.6441269,-135.5177155,YUKON,Yukon,,Bing Maps,state/province
TERRITORIES,57,,NORTHWEST TERRITORIES,25,25,25,25,25,25,25,25,25,67.2751236,-118.8635559,NORTHWEST TERRITORIES,Northwest Territories,,Bing Maps,state/province
TERRITORIES,58,,NUNAVUT,25,25,25,25,25,25,25,25,25,69.4296112,-88.6416321,NUNAVUT,Nunavut,,Bing Maps,state/province
